indicator_code,current_name,name_as_in_source,definitive_name,frequency,unit_as_in_source,indicator_source_name,region_name,indicator_type,functionality,,
,Brand Moisture Atlas Fines,,Brand Moisture Atlas Fines,constant,%,Vale,Australia,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture Brazilian Coarse Fines (High-Silica),,Brand Moisture Brazilian Coarse Fines (High-Silica),constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture Brazilian Concentrates,,Brand Moisture Brazilian Concentrates,constant,%,Vale,China,Iron Ore; Concentrates,Ports,,
,Brand Moisture Brazilian Fines 65%,,Brand Moisture Brazilian Fines 65%,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture Brazilian Lump,,Brand Moisture Brazilian Lump,constant,%,Vale,China,Iron Ore; Lumps,Ports,,
,Brand Moisture BRBF 62.5%,,Brand Moisture BRBF 62.5%,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture BRBF 62.5% Trader,,Brand Moisture BRBF 62.5% Trader,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture BRBF 63%,,Brand Moisture BRBF 63%,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture Citic Pacific,,Brand Moisture Citic Pacific,constant,%,Vale,China,Iron Ore; Concentrates,Ports,,
,Brand Moisture FMG Blend,,Brand Moisture FMG Blend,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture FMG WPF,,Brand Moisture FMG WPF,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture Indian Fines 58%,,Brand Moisture Indian Fines 58%,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture Indian Pellet,,Brand Moisture Indian Pellet,constant,%,Vale,China,Iron Ore;Pellets,Ports,,
,Brand Moisture IOCJ,,Brand Moisture IOCJ,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture Jimblebar Fines 59.5% Fe,,Brand Moisture Jimblebar Fines 59.5% Fe,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture Jimblebar Fines 61%,,Brand Moisture Jimblebar Fines 61%,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture Karara PF,,Brand Moisture Karara PF,constant,%,Vale,China,Iron Ore; Concentrates,Ports,,
,Brand Moisture MAC Fines,,Brand Moisture MAC Fines,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture Newman Fines,,Brand Moisture Newman Fines,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture PB Fines,,Brand Moisture PB Fines,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture PB Lump,,Brand Moisture PB Lump,constant,%,Vale,China,Iron Ore; Lumps,Ports,,
,Brand Moisture Robe River Fines,,Brand Moisture Robe River Fines,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture Royhill Fines,,Brand Moisture Royhill Fines,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture RTX,,Brand Moisture RTX,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture SFNG,,Brand Moisture SFNG,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture SSF,,Brand Moisture SSF,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture SSFG,,Brand Moisture SSFG,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture SSFT,,Brand Moisture SSFT,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
,Brand Moisture Yandi Fines,,Brand Moisture Yandi Fines,constant,%,Vale,China,Iron Ore;Sinter Fines,Ports,,
