indicator_name,indicator_feature_combined
Shredded Scrap USA Export CFR E Asia Port Mthly,"Shredded Scrap USA Export CFR E Asia Port Mthly_monthly_monthly_JKT_Platts_Scrap, Metallics"
Silicomanganese:Ferroalloy Price Index: China,Silicomanganese:Ferroalloy Price Index: China_daily_daily_China_Mysteel_Steel
Sinter feed: Inventory: 45 ports,Sinter feed: Inventory: 45 ports_weekly_weekly_China_Mysteel_Iron Ore
Sinter share in BF burden: 64 Steel Mills,"Sinter share in BF burden: 64 Steel Mills_weekly_weekly_China_Mysteel_Sinter Fines, Pig iron, Steel, Iron Ore"
Sintering Fines:Domestic:Average Daily Consumption:64 Steel Mills,"Sintering Fines:Domestic:Average Daily Consumption:64 Steel Mills_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Slab Black Sea Export FOB Wkly,"Slab Black Sea Export FOB Wkly_weekly_weekly_CIS_Platts_Slab, Steel"
Slab CIF Italy Import $/mt Wkly,"Slab CIF Italy Import $/mt Wkly_weekly_weekly_Europe_Platts_Steel, Slab"
Slab FOB Export Brazil Weekly,"Slab FOB Export Brazil Weekly_weekly_weekly_South America_Platts_Slab, Steel"
"Smokeless coal: Q> 6500, A <11, V <12, S1.2, HGI> 60, MT8: Purchase price: Tang Gang","Smokeless coal: Q> 6500, A <11, V <12, S1.2, HGI> 60, MT8: Purchase price: Tang Gang_daily_daily_China_Mysteel_Coking Coal, Coal"
South Korea Capex(Equipment Investment) Index SA,South Korea Capex(Equipment Investment) Index SA_monthly_monthly_JKT_Bloomberg_Macroeconomic
South Korea IP-Mining/Manufacturing/Electricity&Gas NSA,South Korea IP-Mining/Manufacturing/Electricity&Gas NSA_monthly_monthly_JKT_Bloomberg_Macroeconomic
South Korea Manufacturing PMI SA,South Korea Manufacturing PMI SA_monthly_monthly_JKT_Bloomberg_Macroeconomic
South Korea Motor Vehicle Production,South Korea Motor Vehicle Production_monthly_monthly_JKT_Bloomberg_Macroeconomic
South Korea Value of Construction Completed - Nominal,South Korea Value of Construction Completed - Nominal_monthly_monthly_JKT_Bloomberg_Macroeconomic
Spain Budget Deficit Net Monthly Level YTD Real,Spain Budget Deficit Net Monthly Level YTD Real_monthly_monthly_Europe_Bloomberg_Macroeconomic
Spain Composite PMI Output SA,Spain Composite PMI Output SA_monthly_monthly_Europe_Bloomberg_Macroeconomic
Spain GDP SA Chained Linked at Constant Prices,Spain GDP SA Chained Linked at Constant Prices_quarterly_quarterly_Europe_Bloomberg_Macroeconomic
Spain Harmonized CPI MoM,Spain Harmonized CPI MoM_monthly_monthly_Europe_Bloomberg_Macroeconomic
Spain Harmonized CPI YoY,Spain Harmonized CPI YoY_monthly_monthly_Europe_Bloomberg_Macroeconomic
Spain Industrial Production Durable Consumer Goods SWDA,Spain Industrial Production Durable Consumer Goods SWDA_monthly_monthly_Europe_Bloomberg_Macroeconomic
Spain Industrial Production Energy SWDA,Spain Industrial Production Energy SWDA_monthly_monthly_Europe_Bloomberg_Macroeconomic
Spain Industrial Production Non Durable Consumer Goods SWDA,Spain Industrial Production Non Durable Consumer Goods SWDA_monthly_monthly_Europe_Bloomberg_Macroeconomic
Spain Industrial Production Workday Sean. Adjusted,Spain Industrial Production Workday Sean. Adjusted_monthly_monthly_Europe_Bloomberg_Macroeconomic
Spain Manufacturing PMI SA,Spain Manufacturing PMI SA_monthly_monthly_Europe_Bloomberg_Macroeconomic
Spain New Car Registrations,Spain New Car Registrations_monthly_monthly_Europe_Bloomberg_Macroeconomic
Spain Real Chained GDP Prices Agriculture Forestry and Fishing SWDA,Spain Real Chained GDP Prices Agriculture Forestry and Fishing SWDA_quarterly_quarterly_Europe_Bloomberg_Macroeconomic
Spain Real Chained GDP Prices GDP Construction SWDA,Spain Real Chained GDP Prices GDP Construction SWDA_quarterly_quarterly_Europe_Bloomberg_Macroeconomic
Spain Real Chained GDP Prices Manufacturing SWDA,Spain Real Chained GDP Prices Manufacturing SWDA_quarterly_quarterly_Europe_Bloomberg_Macroeconomic
Spain Real Chained GDP Prices Service Activities SWDA,Spain Real Chained GDP Prices Service Activities SWDA_quarterly_quarterly_Europe_Bloomberg_Macroeconomic
Spain Services PMI Business Activity SA,Spain Services PMI Business Activity SA_monthly_monthly_Europe_Bloomberg_Macroeconomic
Spain Trade Balance Exports EUR,Spain Trade Balance Exports EUR_monthly_monthly_Europe_Bloomberg_Macroeconomic
Spain Trade Balance Imports EUR,Spain Trade Balance Imports EUR_monthly_monthly_Europe_Bloomberg_Macroeconomic
Spain house transactions,Spain house transactions_monthly_monthly_Europe_Bloomberg_Macroeconomic
Square billet: Q235: market price: Tangshan,"Square billet: Q235: market price: Tangshan_daily_daily_China_Mysteel_Steel, Billet"
Steel Billet FOB Export Black Sea $/Mt,"Steel Billet FOB Export Black Sea $/Mt_daily_daily_CIS_Platts_Billet, Steel"
Steel Margin (HRC) Brazil,"Steel Margin (HRC) Brazil_monthly_monthly_South America_MultiSource_Steel, HRC"
Steel Margin (HRC) China,"Steel Margin (HRC) China_daily_daily_China_MultiSource_Steel, HRC, BOF"
Steel Margin (HRC) China Central,"Steel Margin (HRC) China Central_daily_daily_China_MultiSource_HRC, Steel, BOF"
Steel Margin (HRC) China Lag,"Steel Margin (HRC) China Lag_daily_daily_China_MultiSource_BOF, Steel, HRC"
Steel Margin (HRC) China North,"Steel Margin (HRC) China North_daily_daily_China_MultiSource_HRC, BOF, Steel"
Steel Margin (HRC) China North Lag,"Steel Margin (HRC) China North Lag_daily_daily_China_MultiSource_BOF, HRC, Steel"
Steel Margin (HRC) China South,"Steel Margin (HRC) China South_daily_daily_China_MultiSource_BOF, HRC, Steel"
Steel Margin (HRC) China South Lag,"Steel Margin (HRC) China South Lag_daily_daily_China_MultiSource_Steel, HRC, BOF"
Steel Margin (HRC) China Yangtze,"Steel Margin (HRC) China Yangtze_daily_daily_China_MultiSource_Steel, BOF, HRC"
Steel Margin (HRC) China Yangtze Lag,"Steel Margin (HRC) China Yangtze Lag_daily_daily_China_MultiSource_HRC, BOF, Steel"
Steel Margin (HRC) Japan,"Steel Margin (HRC) Japan_monthly_monthly_JKT_MultiSource_Steel, HRC, BOF"
Steel Margin (HRC) NWEU,"Steel Margin (HRC) NWEU_monthly_monthly_Europe_MultiSource_HRC, BOF, Steel"
Steel Margin (HRC) SEA,"Steel Margin (HRC) SEA_monthly_monthly_Southeast Asia_MultiSource_Steel, HRC, BOF"
Steel Margin (HRC) USA,"Steel Margin (HRC) USA_monthly_monthly_North America_MultiSource_BOF, Steel, HRC"
Steel Margin (HRC)China Central Lag,"Steel Margin (HRC)China Central Lag_daily_daily_China_MultiSource_HRC, BOF, Steel"
Steel Margin (Rebar) China,"Steel Margin (Rebar) China_daily_daily_China_MultiSource_BOF, Steel, Rebar"
Steel Margin (Rebar) China Central,"Steel Margin (Rebar) China Central_daily_daily_China_MultiSource_BOF, Rebar, Steel"
Steel Margin (Rebar) China Central Lag,"Steel Margin (Rebar) China Central Lag_daily_daily_China_MultiSource_Rebar, BOF, Steel"
Steel Margin (Rebar) China Lag,"Steel Margin (Rebar) China Lag_daily_daily_China_MultiSource_Steel, Rebar, BOF"
Steel Margin (Rebar) China North,"Steel Margin (Rebar) China North_daily_daily_China_MultiSource_BOF, Rebar, Steel"
Steel Margin (Rebar) China North Lag,"Steel Margin (Rebar) China North Lag_daily_daily_China_MultiSource_Rebar, BOF, Steel"
Steel Margin (Rebar) China South,"Steel Margin (Rebar) China South_daily_daily_China_MultiSource_Rebar, Steel"
Steel Margin (Rebar) China South Lag,"Steel Margin (Rebar) China South Lag_daily_daily_China_MultiSource_Steel, Rebar"
Steel Margin (Rebar) China Yangtze,"Steel Margin (Rebar) China Yangtze_daily_daily_China_MultiSource_Steel, Rebar, BOF"
Steel Margin (Rebar) China Yangtze Lag,"Steel Margin (Rebar) China Yangtze Lag_daily_daily_China_MultiSource_Steel, BOF, Rebar"
Steel Margin (Rebar) GCC,"Steel Margin (Rebar) GCC_monthly_monthly_MENA_MultiSource_Steel, EAF, Rebar"
Steel Margin (Rebar) Turkey,"Steel Margin (Rebar) Turkey_monthly_monthly_Turkey_MultiSource_EAF, Steel, Rebar"
Steel Margin China,"Steel Margin China_daily_daily_China_MultiSource_BOF, Steel"
Steel Margin China 30 scrap/70 pig iron EAF,"Steel Margin China 30 scrap/70 pig iron EAF_daily_daily_China_MultiSource_EAF, Rebar, Steel"
Steel Margin China 70 scrap/30 pig iron EAF,"Steel Margin China 70 scrap/30 pig iron EAF_daily_daily_China_MultiSource_EAF, Rebar, Steel"
Steel Margin China Central,"Steel Margin China Central_daily_daily_China_MultiSource_BOF, Steel"
Steel Margin China Central Lag,"Steel Margin China Central Lag_daily_daily_China_MultiSource_Steel, BOF"
Steel Margin China Lag,"Steel Margin China Lag_daily_daily_China_MultiSource_Steel, BOF"
Steel Margin China Lead M+1,"Steel Margin China Lead M+1_daily_daily_China_MultiSource_BOF, Steel"
Steel Margin China Lead M+2,"Steel Margin China Lead M+2_daily_daily_China_MultiSource_Steel, BOF"
Steel Margin China Lead M+3,"Steel Margin China Lead M+3_daily_daily_China_MultiSource_BOF, Steel"
Steel Margin China Lead M+4,"Steel Margin China Lead M+4_daily_daily_China_MultiSource_Steel, BOF"
Steel Margin China Lead M+5,"Steel Margin China Lead M+5_daily_daily_China_MultiSource_BOF, Steel"
Steel Margin China Lead M+6,"Steel Margin China Lead M+6_daily_daily_China_MultiSource_BOF, Steel"
Steel Margin China North,"Steel Margin China North_daily_daily_China_MultiSource_Steel, BOF"
Steel Margin China North Lag,"Steel Margin China North Lag_daily_daily_China_MultiSource_BOF, Steel"
Steel Margin China South,"Steel Margin China South_daily_daily_China_MultiSource_Steel, BOF"
Steel Margin China South Lag,"Steel Margin China South Lag_daily_daily_China_MultiSource_Steel, BOF"
Steel Margin China Yangtze,"Steel Margin China Yangtze_daily_daily_China_MultiSource_Steel, BOF"
Steel Margin China Yangtze Lag,"Steel Margin China Yangtze Lag_daily_daily_China_MultiSource_BOF, Steel"
Steel Plate: Inventory of Steel Mills: China,"Steel Plate: Inventory of Steel Mills: China_weekly_weekly_China_Mysteel_Plate, Steel"
Steel Plate: Inventory of Traders: 31 Cities: China,"Steel Plate: Inventory of Traders: 31 Cities: China_weekly_weekly_China_Mysteel_Steel, Plate"
Steel Plate: Steel Mills: Actual Production: China,"Steel Plate: Steel Mills: Actual Production: China_weekly_weekly_China_Mysteel_Plate, Steel"
"Steel billet domestic, exw India, rupees/tonne","Steel billet domestic, exw India, rupees/tonne_weekly_weekly_India_Fastmarkets_Billet, Steel"
"Steel billet domestic, exw Turkey, $/tonne","Steel billet domestic, exw Turkey, $/tonne_weekly_weekly_Turkey_Fastmarkets_Steel, Billet"
"Steel billet export, fob main port India, $/tonne","Steel billet export, fob main port India, $/tonne_weekly_weekly_India_Fastmarkets_Billet, Steel"
"Steel billet export, fob main port Turkey, $/tonne","Steel billet export, fob main port Turkey, $/tonne_weekly_weekly_Turkey_Fastmarkets_Steel, Billet"
"Steel billet export, fob ports Iran, $/tonne","Steel billet export, fob ports Iran, $/tonne_weekly_weekly_MENA_Fastmarkets_Steel, Billet"
"Steel billet import, cfr Jebel Ali, UAE, $/tonne","Steel billet import, cfr Jebel Ali, UAE, $/tonne_weekly_weekly_MENA_Fastmarkets_Steel, Billet"
"Steel billet import, cfr main port Egypt, $/tonne","Steel billet import, cfr main port Egypt, $/tonne_weekly_weekly_MENA_Fastmarkets_Steel, Billet"
"Steel billet import, cfr main port Turkey, $/tonne","Steel billet import, cfr main port Turkey, $/tonne_weekly_weekly_Turkey_Fastmarkets_Steel, Billet"
"Steel heavy plate (thicker than 10mm) export, fob main port Latin America, $/tonne","Steel heavy plate (thicker than 10mm) export, fob main port Latin America, $/tonne_monthly_monthly_South America_Fastmarkets_Steel, Plate"
"Steel hot-rolled coil (Japan, Korea, Taiwan-origin), import, cfr Vietnam, $/tonne","Steel hot-rolled coil (Japan, Korea, Taiwan-origin), import, cfr Vietnam, $/tonne_weekly_weekly_Southeast Asia_Fastmarkets_HRC, Steel"
"Steel hot-rolled coil export, fob main port Turkey, $/tonne","Steel hot-rolled coil export, fob main port Turkey, $/tonne_weekly_weekly_Turkey_Fastmarkets_HRC, Steel"
"Steel hot-rolled coil import, cfr Vietnam, $/tonne","Steel hot-rolled coil import, cfr Vietnam, $/tonne_weekly_weekly_Southeast Asia_Fastmarkets_Steel, HRC"
"Steel hot-rolled coil import, cfr main port Turkey, $/tonne","Steel hot-rolled coil import, cfr main port Turkey, $/tonne_weekly_weekly_Turkey_Fastmarkets_HRC, Steel"
"Steel hot-rolled sheet domestic, cpt Moscow, Russia, rubles/tonne incl. VAT","Steel hot-rolled sheet domestic, cpt Moscow, Russia, rubles/tonne incl. VAT_weekly_weekly_CIS_Fastmarkets_HRC, Steel"
"Steel plate import, cfr main ports South America, $/tonne","Steel plate import, cfr main ports South America, $/tonne_weekly_weekly_South America_Fastmarkets_Plate, Steel"
Steel rebar Japan domestic price Tokyo Steel ex-works inclusive GST USD/t,"Steel rebar Japan domestic price Tokyo Steel ex-works inclusive GST USD/t_weekly_weekly_JKT_Argus_Steel, Rebar"
"Steel scrap HMS 1&2 (80:20 mix) import, cfr Nhava Sheva, India, $/tonne","Steel scrap HMS 1&2 (80:20 mix) import, cfr Nhava Sheva, India, $/tonne_weekly_weekly_India_Fastmarkets_Metallics, Scrap"
"Steel scrap HMS 1&2 (80:20) deep-sea origin import, cfr Bangladesh, $/tonne","Steel scrap HMS 1&2 (80:20) deep-sea origin import, cfr Bangladesh, $/tonne_weekly_weekly_Southeast Asia_Fastmarkets_Scrap, Metallics"
"Steel scrap HMS 1&2 (80:20) deep-sea origin import, cfr South Korea, $/tonne","Steel scrap HMS 1&2 (80:20) deep-sea origin import, cfr South Korea, $/tonne_weekly_weekly_JKT_Fastmarkets_Metallics, Scrap"
"Steel scrap shredded deep-sea origin import, cfr Bangladesh, $/tonne","Steel scrap shredded deep-sea origin import, cfr Bangladesh, $/tonne_weekly_weekly_Southeast Asia_Fastmarkets_Metallics, Scrap"
"Steel scrap shredded scrap, export index, fob New York, $/tonne","Steel scrap shredded scrap, export index, fob New York, $/tonne_weekly_weekly_North America_Fastmarkets_Scrap, Metallics"
"Steel slab export, fob ports Iran, $/tonne","Steel slab export, fob ports Iran, $/tonne_weekly_weekly_MENA_Fastmarkets_Slab, Steel"
"Steel slab import, cfr Southeast Asia/East Asia, $/tonne","Steel slab import, cfr Southeast Asia/East Asia, $/tonne_weekly_weekly_Southeast Asia_Fastmarkets_Slab, Steel"
"Steel,Production of crude steel (millions of tonnes), China","Steel,Production of crude steel (millions of tonnes), China_quarterly_quarterly_China_Oxford_Macroeconomic"
"Steel,Production of crude steel (millions of tonnes), Western Europe","Steel,Production of crude steel (millions of tonnes), Western Europe_quarterly_quarterly_Europe_Oxford_Macroeconomic"
Stock of Atlas Fines at Caofeidian port,"Stock of Atlas Fines at Caofeidian port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of Atlas Fines at Fuzhou port,"Stock of Atlas Fines at Fuzhou port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of Atlas Fines at Huanghua port,"Stock of Atlas Fines at Huanghua port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of Atlas Fines at Jiangyin port,"Stock of Atlas Fines at Jiangyin port_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of Atlas Fines at Jingtang port,"Stock of Atlas Fines at Jingtang port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of Atlas Fines at Lanqiao port,"Stock of Atlas Fines at Lanqiao port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of Atlas Fines at Lanshan port,"Stock of Atlas Fines at Lanshan port_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of Atlas Fines at Lianyungang port,"Stock of Atlas Fines at Lianyungang port_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of Atlas Fines at Nantong port,"Stock of Atlas Fines at Nantong port_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of Atlas Fines at Qingdao port,"Stock of Atlas Fines at Qingdao port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of Atlas Fines at Rizhao port,"Stock of Atlas Fines at Rizhao port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of Atlas Fines at Taicang port,"Stock of Atlas Fines at Taicang port_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of Atlas Fines at Tianjin port,"Stock of Atlas Fines at Tianjin port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of Atlas Fines at Zhanjiang port,"Stock of Atlas Fines at Zhanjiang port_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of Atlas Fines at Zhoushan port,"Stock of Atlas Fines at Zhoushan port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of Atlas Fines at ports,"Stock of Atlas Fines at ports_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of Atlas Lump at Caofeidian port,"Stock of Atlas Lump at Caofeidian port_weekly_weekly_China_Mysteel_Iron Ore, Lumps"
Stock of Atlas Lump at Fuzhou port,"Stock of Atlas Lump at Fuzhou port_weekly_weekly_China_Mysteel_Iron Ore, Lumps"
Stock of Atlas Lump at Huanghua port,"Stock of Atlas Lump at Huanghua port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Atlas Lump at Jiangyin port,"Stock of Atlas Lump at Jiangyin port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Atlas Lump at Jingtang port,"Stock of Atlas Lump at Jingtang port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Atlas Lump at Lanqiao port,"Stock of Atlas Lump at Lanqiao port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Atlas Lump at Lanshan port,"Stock of Atlas Lump at Lanshan port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Atlas Lump at Lianyungang port,"Stock of Atlas Lump at Lianyungang port_weekly_weekly_China_Mysteel_Iron Ore, Lumps"
Stock of Atlas Lump at Nantong port,"Stock of Atlas Lump at Nantong port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Atlas Lump at Qingdao port,"Stock of Atlas Lump at Qingdao port_weekly_weekly_China_Mysteel_Iron Ore, Lumps"
Stock of Atlas Lump at Rizhao port,"Stock of Atlas Lump at Rizhao port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Atlas Lump at Taicang port,"Stock of Atlas Lump at Taicang port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Atlas Lump at Tianjin port,"Stock of Atlas Lump at Tianjin port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Atlas Lump at Zhanjiang port,"Stock of Atlas Lump at Zhanjiang port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Atlas Lump at Zhoushan port,"Stock of Atlas Lump at Zhoushan port_weekly_weekly_China_Mysteel_Iron Ore, Lumps"
Stock of Atlas Lump at ports,"Stock of Atlas Lump at ports_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Australian Lump at Caofeidian port,"Stock of Australian Lump at Caofeidian port_weekly_weekly_China_Mysteel_Iron Ore, Lumps"
Stock of Australian Lump at Fuzhou port,"Stock of Australian Lump at Fuzhou port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Australian Lump at Huanghua port,"Stock of Australian Lump at Huanghua port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Australian Lump at Jiangyin port,"Stock of Australian Lump at Jiangyin port_weekly_weekly_China_Mysteel_Iron Ore, Lumps"
Stock of Australian Lump at Jingtang port,"Stock of Australian Lump at Jingtang port_weekly_weekly_China_Mysteel_Iron Ore, Lumps"
Stock of Australian Lump at Lanqiao port,"Stock of Australian Lump at Lanqiao port_weekly_weekly_China_Mysteel_Iron Ore, Lumps"
Stock of Australian Lump at Lanshan port,"Stock of Australian Lump at Lanshan port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Australian Lump at Lianyungang port,"Stock of Australian Lump at Lianyungang port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Australian Lump at Nantong port,"Stock of Australian Lump at Nantong port_weekly_weekly_China_Mysteel_Iron Ore, Lumps"
Stock of Australian Lump at Qingdao port,"Stock of Australian Lump at Qingdao port_weekly_weekly_China_Mysteel_Iron Ore, Lumps"
Stock of Australian Lump at Rizhao port,"Stock of Australian Lump at Rizhao port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Australian Lump at Taicang port,"Stock of Australian Lump at Taicang port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Australian Lump at Tianjin port,"Stock of Australian Lump at Tianjin port_weekly_weekly_China_Mysteel_Iron Ore, Lumps"
Stock of Australian Lump at Zhanjiang port,"Stock of Australian Lump at Zhanjiang port_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Australian Lump at Zhoushan port,"Stock of Australian Lump at Zhoushan port_weekly_weekly_China_Mysteel_Iron Ore, Lumps"
Stock of Australian Lump at ports,"Stock of Australian Lump at ports_weekly_weekly_China_Mysteel_Lumps, Iron Ore"
Stock of Australian Pellet at Caofeidian port,"Stock of Australian Pellet at Caofeidian port_weekly_weekly_China_Mysteel_Pellets, Iron Ore"
Stock of Australian Pellet at Fuzhou port,"Stock of Australian Pellet at Fuzhou port_weekly_weekly_China_Mysteel_Pellets, Iron Ore"
Stock of Australian Pellet at Huanghua port,"Stock of Australian Pellet at Huanghua port_weekly_weekly_China_Mysteel_Pellets, Iron Ore"
Stock of Australian Pellet at Jiangyin port,"Stock of Australian Pellet at Jiangyin port_weekly_weekly_China_Mysteel_Pellets, Iron Ore"
Stock of Australian Pellet at Jingtang port,"Stock of Australian Pellet at Jingtang port_weekly_weekly_China_Mysteel_Iron Ore, Pellets"
Stock of Australian Pellet at Lanqiao port,"Stock of Australian Pellet at Lanqiao port_weekly_weekly_China_Mysteel_Iron Ore, Pellets"
Stock of Australian Pellet at Lanshan port,"Stock of Australian Pellet at Lanshan port_weekly_weekly_China_Mysteel_Iron Ore, Pellets"
Stock of Australian Pellet at Lianyungang port,"Stock of Australian Pellet at Lianyungang port_weekly_weekly_China_Mysteel_Iron Ore, Pellets"
Stock of Australian Pellet at Nantong port,"Stock of Australian Pellet at Nantong port_weekly_weekly_China_Mysteel_Pellets, Iron Ore"
Stock of Australian Pellet at Qingdao port,"Stock of Australian Pellet at Qingdao port_weekly_weekly_China_Mysteel_Iron Ore, Pellets"
Stock of Australian Pellet at Rizhao port,"Stock of Australian Pellet at Rizhao port_weekly_weekly_China_Mysteel_Pellets, Iron Ore"
Stock of Australian Pellet at Taicang port,"Stock of Australian Pellet at Taicang port_weekly_weekly_China_Mysteel_Iron Ore, Pellets"
Stock of Australian Pellet at Tianjin port,"Stock of Australian Pellet at Tianjin port_weekly_weekly_China_Mysteel_Iron Ore, Pellets"
Stock of Australian Pellet at Zhanjiang port,"Stock of Australian Pellet at Zhanjiang port_weekly_weekly_China_Mysteel_Pellets, Iron Ore"
Stock of Australian Pellet at Zhoushan port,"Stock of Australian Pellet at Zhoushan port_weekly_weekly_China_Mysteel_Iron Ore, Pellets"
Stock of Australian Pellet at ports,"Stock of Australian Pellet at ports_weekly_weekly_China_Mysteel_Iron Ore, Pellets"
Stock of BRBF Fines at Caofeidian port,"Stock of BRBF Fines at Caofeidian port_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of BRBF Fines at Fuzhou port,"Stock of BRBF Fines at Fuzhou port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of BRBF Fines at Huanghua port,"Stock of BRBF Fines at Huanghua port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of BRBF Fines at Jiangyin port,"Stock of BRBF Fines at Jiangyin port_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of BRBF Fines at Jingtang port,"Stock of BRBF Fines at Jingtang port_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of BRBF Fines at Lanqiao port,"Stock of BRBF Fines at Lanqiao port_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of BRBF Fines at Lanshan port,"Stock of BRBF Fines at Lanshan port_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of BRBF Fines at Lianyungang port,"Stock of BRBF Fines at Lianyungang port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of BRBF Fines at Nantong port,"Stock of BRBF Fines at Nantong port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of BRBF Fines at Qingdao port,"Stock of BRBF Fines at Qingdao port_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of BRBF Fines at Rizhao port,"Stock of BRBF Fines at Rizhao port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of BRBF Fines at Taicang port,"Stock of BRBF Fines at Taicang port_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of BRBF Fines at Tianjin port,"Stock of BRBF Fines at Tianjin port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of BRBF Fines at Zhanjiang port,"Stock of BRBF Fines at Zhanjiang port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of BRBF Fines at Zhoushan port,"Stock of BRBF Fines at Zhoushan port_weekly_weekly_China_Mysteel_Iron Ore, Sinter Fines"
Stock of BRBF Fines at ports,"Stock of BRBF Fines at ports_weekly_weekly_China_Mysteel_Sinter Fines, Iron Ore"
Stock of Brazilian Concentrate at Caofeidian port,"Stock of Brazilian Concentrate at Caofeidian port_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Stock of Brazilian Concentrate at Fuzhou port,"Stock of Brazilian Concentrate at Fuzhou port_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Stock of Brazilian Concentrate at Huanghua port,"Stock of Brazilian Concentrate at Huanghua port_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Stock of Brazilian Concentrate at Jiangyin port,"Stock of Brazilian Concentrate at Jiangyin port_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Stock of Brazilian Concentrate at Jingtang port,"Stock of Brazilian Concentrate at Jingtang port_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Stock of Brazilian Concentrate at Lanqiao port,"Stock of Brazilian Concentrate at Lanqiao port_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Stock of Brazilian Concentrate at Lanshan port,"Stock of Brazilian Concentrate at Lanshan port_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Stock of Brazilian Concentrate at Lianyungang port,"Stock of Brazilian Concentrate at Lianyungang port_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Stock of Brazilian Concentrate at Nantong port,"Stock of Brazilian Concentrate at Nantong port_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Stock of Brazilian Concentrate at Qingdao port,"Stock of Brazilian Concentrate at Qingdao port_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Stock of Brazilian Concentrate at Rizhao port,"Stock of Brazilian Concentrate at Rizhao port_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Stock of Brazilian Concentrate at Taicang port,"Stock of Brazilian Concentrate at Taicang port_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
