indicator_name,indicator_feature_combined
Billet LatAm Export FOB Latin Am Port Mthly,"Billet LatAm Export FOB Latin Am Port Mthly_monthly_monthly_South America_Platts_Steel, Billet"
Blast furnace Capacity Utilization: 247 Steel Mills: China,"Blast furnace Capacity Utilization: 247 Steel Mills: China_weekly_weekly_China_Mysteel_Steel, Metallics, Pig iron"
Blast furnace Operating Rate: 247 Steel Mills: China,"Blast furnace Operating Rate: 247 Steel Mills: China_weekly_weekly_China_Mysteel_Pig iron, Steel, Metallics, BOF"
Bloomberg Dollar Spot Index,Bloomberg Dollar Spot Index_daily_daily_North America_Bloomberg_Macroeconomic
Bloomberg Total OPEC Crude Oil Production Output Data,Bloomberg Total OPEC Crude Oil Production Output Data_monthly_monthly_MENA_Bloomberg_Macroeconomic
Brazil CAGED Government Registered Job Creation Total NAdj,Brazil CAGED Government Registered Job Creation Total NAdj_monthly_monthly_South America_Bloomberg_Macroeconomic
Brazil CPI IPCA YoY,Brazil CPI IPCA YoY_monthly_monthly_South America_Bloomberg_Macroeconomic
Brazil Central Bank Annual Center IPCA Inflation Target,Brazil Central Bank Annual Center IPCA Inflation Target_yearly_yearly_South America_Bloomberg_Macroeconomic
Brazil Construction Average Cost,Brazil Construction Average Cost_monthly_monthly_South America_Bloomberg_Macroeconomic
Brazil Durable Consumer Goods SA,Brazil Durable Consumer Goods SA_monthly_monthly_South America_Bloomberg_Macroeconomic
Brazil Economic Activity GDP MOM% IBC-BR,Brazil Economic Activity GDP MOM% IBC-BR_monthly_monthly_South America_Bloomberg_Macroeconomic
Brazil Economic Activity GDP YOY% IBC-BR,Brazil Economic Activity GDP YOY% IBC-BR_monthly_monthly_South America_Bloomberg_Macroeconomic
Brazil FGV Consumer Confidence Index SA,Brazil FGV Consumer Confidence Index SA_monthly_monthly_South America_Bloomberg_Macroeconomic
Brazil GDP QoQ SA 1995=100,Brazil GDP QoQ SA 1995=100_quarterly_quarterly_South America_Bloomberg_Macroeconomic
Brazil GDP Qtrly YoY Family Consumption 1995=100,Brazil GDP Qtrly YoY Family Consumption 1995=100_quarterly_quarterly_South America_Bloomberg_Macroeconomic
Brazil GDP Qtrly YoY Govt Consumption 1995=100,Brazil GDP Qtrly YoY Govt Consumption 1995=100_quarterly_quarterly_South America_Bloomberg_Macroeconomic
Brazil Industrial Production Activity Machinery & Equipments2012,Brazil Industrial Production Activity Machinery & Equipments2012_monthly_monthly_South America_Bloomberg_Macroeconomic
Brazil Manufacture of Household Appliances,Brazil Manufacture of Household Appliances_monthly_monthly_South America_Bloomberg_Macroeconomic
Brazil Manufacturing PMI SA,Brazil Manufacturing PMI SA_monthly_monthly_South America_Bloomberg_Macroeconomic
Brazil Real Industrial Production SA 2012=100,Brazil Real Industrial Production SA 2012=100_monthly_monthly_South America_Bloomberg_Macroeconomic
Brazil Retail Sales Volume Construction Materials,Brazil Retail Sales Volume Construction Materials_monthly_monthly_South America_Bloomberg_Macroeconomic
Brazil Selic Target Rate,Brazil Selic Target Rate_daily_daily_South America_Bloomberg_Macroeconomic
Brazil Trade Balance FOB Balance NSA,Brazil Trade Balance FOB Balance NSA_monthly_monthly_South America_Bloomberg_Macroeconomic
